full_name,census_tract,poverty,bachelors,associates,car,diff_countyHouse,diff_countyRent,diff_stateHouse,diff_stateRent,health_ins,house_val,population,self_income,museums,pharmacies,score
"Census Tract 136, Essex County, New Jersey",136,201,1655,195,5989,61,162,37,50,5989,337400,5989,183,18,3,
"Census Tract 136, Hudson County, New Jersey",136,320,171,23,2200,0,89,0,27,2200,336700,2200,77,14,7,
"Census Tract 137, Essex County, New Jersey",137,613,720,122,4614,116,108,0,19,4614,347300,4614,68,18,2,
"Census Tract 137, Hudson County, New Jersey",137,320,207,46,2664,0,47,0,0,2664,288100,2664,120,14,1,
"Census Tract 138, Essex County, New Jersey",138,246,817,115,4296,31,18,7,7,4296,371500,4296,139,18,6,
"Census Tract 138, Hudson County, New Jersey",138,241,349,63,2000,17,114,0,50,2000,301000,2000,89,14,1,
"Census Tract 139, Essex County, New Jersey",139,80,785,285,5040,23,0,11,0,5040,344600,5040,193,18,6,
"Census Tract 139, Hudson County, New Jersey",139,291,350,161,2672,0,100,0,88,2672,295500,2672,118,14,2,
"Census Tract 14, Atlantic County, New Jersey",14,1997,260,36,4008,0,0,0,32,3993,236300,4008,68,21,4,
"Census Tract 14, Essex County, New Jersey",14,1515,100,55,2650,0,17,0,0,2650,252000,2650,18,18,11,
"Census Tract 14, Hudson County, New Jersey",14,356,640,86,3914,0,77,0,132,3779,292200,3914,79,14,4,
"Census Tract 14.01, Mercer County, New Jersey",14.01,1690,67,80,4038,0,51,0,111,4038,104800,4038,39,28,4,
"Census Tract 14.02, Mercer County, New Jersey",14.02,726,86,65,2094,8,0,17,81,2094,86500,2094,6,28,6,
"Census Tract 14.09, Middlesex County, New Jersey",14.09,80,731,140,3314,0,0,11,12,3314,496500,3314,234,16,14,
"Census Tract 14.10, Middlesex County, New Jersey",14.1,216,1138,228,4361,78,0,38,33,4361,476100,4361,125,16,14,
"Census Tract 14.11, Middlesex County, New Jersey",14.11,63,762,105,3521,45,0,67,0,3521,454400,3521,139,16,14,
"Census Tract 14.12, Middlesex County, New Jersey",14.12,140,757,110,3488,119,0,8,0,3347,379000,3488,110,16,8,
"Census Tract 14.13, Middlesex County, New Jersey",14.13,176,907,261,5640,183,0,10,146,5556,415600,5640,116,16,14,
"Census Tract 14.14, Middlesex County, New Jersey",14.14,227,1395,167,5679,27,63,0,105,5679,362800,5679,209,16,14,
"Census Tract 14.15, Middlesex County, New Jersey",14.15,167,1404,121,5395,46,0,6,0,5395,559000,5395,256,16,14,
"Census Tract 14.16, Middlesex County, New Jersey",14.16,754,2171,148,8142,0,342,0,105,8142,415000,8142,77,16,14,
