"full_name","census_tract","poverty","bachelors","associates","car","diff_countyHouse","diff_countyRent","diff_stateHouse","diff_stateRent","health_ins","house_val","population","self_income","museums","pharmacy","score"
"Census Tract 119, Atlantic County, New Jersey","119",2069,497,123,8144,66,0,19,59,8094,155600,8144,129,NA,NA,NA
"Census Tract 119, Essex County, New Jersey","119",354,69,23,1754,4,0,0,12,1754,263200,1754,52,NA,NA,NA
"Census Tract 119, Hunterdon County, New Jersey","119",192,986,129,3890,119,25,52,98,3890,351500,3890,304,NA,NA,NA
"Census Tract 12, Atlantic County, New Jersey","12",488,156,236,2994,0,12,0,13,2994,196200,2994,94,NA,NA,NA
"Census Tract 12, Mercer County, New Jersey","12",708,392,70,3691,55,0,0,0,3651,174900,3691,131,NA,NA,NA
"Census Tract 12, Middlesex County, New Jersey","12",591,589,215,5487,0,103,21,101,5487,337800,5487,229,NA,NA,NA
"Census Tract 12.01, Hudson County, New Jersey","12.01",216,686,55,2026,0,44,37,36,2026,341300,2026,47,NA,NA,NA
"Census Tract 12.02, Hudson County, New Jersey","12.02",388,188,25,1207,0,6,0,0,1201,345500,1207,23,NA,NA,NA
"Census Tract 120, Atlantic County, New Jersey","120",749,236,131,4585,0,33,23,0,4585,175700,4585,35,NA,NA,NA
"Census Tract 120, Essex County, New Jersey","120",899,571,275,5931,0,156,0,22,5743,253700,5931,49,NA,NA,NA
"Census Tract 120.01, Bergen County, New Jersey","120.01",497,1178,437,5660,77,268,0,122,5660,449100,5660,85,NA,NA,NA
"Census Tract 120.02, Bergen County, New Jersey","120.02",111,549,121,3249,31,33,0,0,3249,355700,3249,128,NA,NA,NA
"Census Tract 121, Atlantic County, New Jersey","121",794,221,40,2911,0,0,39,0,2656,165200,2911,95,NA,NA,NA
"Census Tract 121, Essex County, New Jersey","121",902,210,150,3565,0,118,0,108,3543,262000,3565,31,NA,NA,NA
"Census Tract 122, Atlantic County, New Jersey","122",463,164,175,5178,16,0,25,83,5038,171800,5178,92,NA,NA,NA
"Census Tract 122, Essex County, New Jersey","122",1164,394,261,6075,0,52,0,98,6075,239500,6075,191,NA,NA,NA
"Census Tract 123, Essex County, New Jersey","123",528,362,179,4660,0,18,40,18,4660,235800,4660,92,NA,NA,NA
"Census Tract 123, Hudson County, New Jersey","123",257,285,39,2300,0,57,0,69,2300,363000,2300,55,NA,NA,NA
"Census Tract 123.02, Atlantic County, New Jersey","123.02",190,571,126,3495,18,0,38,33,3495,257200,3495,141,NA,NA,NA
"Census Tract 124, Essex County, New Jersey","124",1161,216,276,4476,18,68,0,20,4430,218300,4476,37,NA,NA,NA
"Census Tract 124, Hudson County, New Jersey","124",207,539,111,3321,70,14,0,0,3315,394200,3321,91,NA,NA,NA
"Census Tract 124.01, Atlantic County, New Jersey","124.01",253,378,107,2856,19,0,0,0,2684,238900,2856,107,NA,NA,NA
"Census Tract 124.02, Atlantic County, New Jersey","124.02",131,374,90,2275,12,0,56,0,2251,261700,2275,69,NA,NA,NA
"Census Tract 1242, Passaic County, New Jersey","1242",611,1196,290,7593,71,36,27,0,7593,348900,7593,177,NA,NA,NA
"Census Tract 1243.11, Passaic County, New Jersey","1243.11",240,791,220,4681,45,36,15,16,4681,372900,4681,175,NA,NA,NA
"Census Tract 1243.12, Passaic County, New Jersey","1243.12",139,973,186,4765,154,15,10,0,4765,452800,4765,212,NA,NA,NA
"Census Tract 1243.21, Passaic County, New Jersey","1243.21",404,990,203,5696,166,0,14,37,5696,350400,5696,129,NA,NA,NA
"Census Tract 1243.22, Passaic County, New Jersey","1243.22",51,1093,247,4547,41,50,17,0,4547,346900,4547,226,NA,NA,NA
"Census Tract 1243.23, Passaic County, New Jersey","1243.23",234,656,100,3025,0,135,0,58,3025,336000,3025,57,NA,NA,NA
"Census Tract 1244.01, Passaic County, New Jersey","1244.01",140,985,265,6601,14,58,0,64,6601,377300,6601,196,NA,NA,NA
"Census Tract 1244.02, Passaic County, New Jersey","1244.02",551,929,207,4860,53,50,0,0,4860,341600,4860,207,NA,NA,NA
"Census Tract 1245, Passaic County, New Jersey","1245",968,950,195,6871,0,0,0,0,6871,317200,6871,199,NA,NA,NA
"Census Tract 1246.01, Passaic County, New Jersey","1246.01",453,315,213,4439,0,60,0,0,4239,349100,4439,95,NA,NA,NA
