"full_name","census_tract","poverty","bachelors","associates","car","diff_countyHouse","diff_countyRent","diff_stateHouse","diff_stateRent","health_ins","house_val","population","self_income","museums","score"
"Census Tract 137, Hudson County, New Jersey","137",418,305,139,2486,10,50,0,69,2486,270500,2486,158,NA,NA
"Census Tract 138, Essex County, New Jersey","138",119,825,115,4253,199,35,12,6,4253,379600,4253,127,NA,NA
"Census Tract 138, Hudson County, New Jersey","138",274,597,52,2913,7,117,0,220,2913,346400,2913,33,NA,NA
"Census Tract 139, Essex County, New Jersey","139",170,912,272,4939,124,6,13,0,4939,343700,4939,165,NA,NA
"Census Tract 139, Hudson County, New Jersey","139",501,449,148,3477,24,32,0,29,3477,360900,3477,195,NA,NA
"Census Tract 14, Atlantic County, New Jersey","14",2148,182,10,3540,0,0,0,0,3533,142900,3540,23,NA,NA
"Census Tract 14, Essex County, New Jersey","14",981,182,107,2697,8,19,0,10,2697,209400,2697,39,NA,NA
"Census Tract 14, Hudson County, New Jersey","14",759,899,84,4172,26,40,0,51,3963,353100,4172,95,NA,NA
"Census Tract 14.01, Mercer County, New Jersey","14.01",1686,106,35,3878,0,69,0,0,3878,88800,3878,20,NA,NA
"Census Tract 14.02, Mercer County, New Jersey","14.02",615,136,69,1873,0,32,0,0,1873,87100,1873,57,NA,NA
"Census Tract 14.09, Middlesex County, New Jersey","14.09",166,671,171,3318,11,42,0,0,3318,557900,3318,149,NA,NA
"Census Tract 14.10, Middlesex County, New Jersey","14.10",278,990,69,4141,32,7,2,10,4141,504100,4141,159,NA,NA
"Census Tract 14.11, Middlesex County, New Jersey","14.11",80,708,99,3189,46,0,17,0,3189,492300,3189,148,NA,NA
"Census Tract 14.12, Middlesex County, New Jersey","14.12",71,813,94,3344,93,0,7,0,3246,410000,3344,128,NA,NA
